v_est_minus mean rank 1.8953309693288012
v_est_plus mean rank 1.8953309693288012
initialization 497.023895025
reconstruction 76 0.00986409187317
boundary 76 1.18627595901
fluxes 76 19.2105510235
rhs 76 51.5566020012
update 76 2.51394104958
reconstruction 77 0.00985097885132
boundary 77 1.12405800819
fluxes 77 19.1071770191
rhs 77 51.7279620171
update 77 2.51123785973
reconstruction 78 0.00977921485901
boundary 78 1.12500214577
fluxes 78 19.1668868065
rhs 78 51.7080180645
update 78 2.52143383026
reconstruction 79 0.00981497764587
boundary 79 1.13052988052
fluxes 79 19.2233221531
rhs 79 51.4197421074
update 79 2.51895999908
reconstruction 80 0.00986790657043
boundary 80 1.12599802017
fluxes 80 19.3000690937
rhs 80 51.9041380882
update 80 2.52536702156
reconstruction 81 0.00981616973877
boundary 81 1.12930393219
fluxes 81 19.2680821419
rhs 81 52.3828699589
update 81 2.53161787987
reconstruction 82 0.00984311103821
boundary 82 1.13449883461
fluxes 82 19.4213049412
rhs 82 52.056210041
update 82 2.52541899681
reconstruction 83 0.00986099243164
boundary 83 1.12736105919
fluxes 83 19.4458220005
rhs 83 51.9573287964
update 83 2.53082108498
reconstruction 84 0.00982284545898
boundary 84 1.13246893883
fluxes 84 19.6838951111
rhs 84 52.6654729843
update 84 2.56603097916
reconstruction 85 0.00977206230164
boundary 85 1.12914013863
fluxes 85 19.6717019081
rhs 85 54.2993268967
update 85 2.53970980644
reconstruction 86 0.00985288619995
boundary 86 1.13603591919
fluxes 86 19.5585849285
rhs 86 63.4950067997
update 86 2.51163291931
reconstruction 87 0.00981688499451
boundary 87 1.10599398613
fluxes 87 19.5731759071
rhs 87 57.2875330448
update 87 2.53909897804
reconstruction 88 0.00970005989075
boundary 88 1.13314008713
fluxes 88 19.7501709461
rhs 88 71.9075238705
update 88 3.06422996521
reconstruction 89 0.0107760429382
boundary 89 1.47222900391
fluxes 89 28.4388010502
rhs 89 57.2168450356
update 89 2.54736804962
reconstruction 90 0.00984597206116
boundary 90 1.11456108093
fluxes 90 19.6181540489
rhs 90 53.5623481274
update 90 2.5568048954
reconstruction 91 0.00966191291809
boundary 91 1.21820616722
fluxes 91 19.5782599449
rhs 91 53.9028749466
update 91 2.57379198074
reconstruction 92 0.0098659992218
boundary 92 1.12170386314
fluxes 92 19.6820919514
rhs 92 54.2484910488
update 92 2.58094906807
reconstruction 93 0.00978589057922
boundary 93 1.12720394135
fluxes 93 19.7022609711
rhs 93 59.8862671852
update 93 2.56406378746
reconstruction 94 0.00977492332458
boundary 94 1.12386107445
fluxes 94 19.9423270226
rhs 94 59.7011470795
update 94 2.5741250515
reconstruction 95 0.00984692573547
boundary 95 1.12068891525
fluxes 95 19.8255710602
rhs 95 57.8561060429
update 95 2.59408307076
reconstruction 96 0.00977897644043
boundary 96 1.28309798241
fluxes 96 19.9995830059
rhs 96 54.6558680534
update 96 2.6091530323
reconstruction 97 0.00969696044922
boundary 97 1.01980805397
fluxes 97 20.0752670765
rhs 97 60.5564689636
update 97 2.56302309036
reconstruction 98 0.00984191894531
boundary 98 1.108273983
fluxes 98 19.8360378742
rhs 98 58.6508488655
update 98 2.60556602478
reconstruction 99 0.00978899002075
